s,x,y1,y2,
1,1,2.21,0.06,
2,1,1.8,0.11,
3,1,6.2,0.19,
4,1,0.3,0.05,
5,1,4.9,0.05,
6,1,0.8,0.05,
7,1,1.4,2.00,
8,1,2.8,2.00,
9,1,2.4,0.60,
10,1,6.5,0.06,
11,1,5.2,0.10,
1,2,12.3,0.126,
2,2,17.1,0.045,
3,2,30.1,0.155,
4,2,34.1,0.084,
5,2,26.5,0.055,
6,2,16,0.025,
7,2,9.12,0.053,
8,2,10.6,0.126,
9,2,18.9,0.07,
10,2,8.78,0.105,
11,2,14.6,0.101,
1,3,31.3,0.16,
2,3,24.4,0.096,
3,3,32.41,0.219,
4,3,34.5,0.152,
5,3,30,0.069,
6,3,21.9,0.105,
7,3,11.3,0.062,
8,3,12.6,0.17,
9,3,22.02,0.1,
10,3,12.75,0.163,
11,3,19.01,0.153,
